Графод**черам посвящается Octopath Traveler,http://www.youtube.com/watch?v=JzqrCnYwGts
GTA в России! / MTA Province 2.0,http://www.youtube.com/watch?v=TU554SZpJBs
Дикие цены в Nintendo EShop,http://www.youtube.com/watch?v=gaukNET_NzI
Покупки в США и подарки от подписчиков / июль 2018,http://www.youtube.com/watch?v=9ur70KqxD4k
"MSX2 / КУВТ2 ПК 90х ""Детство буржуя"" 6я серия",http://www.youtube.com/watch?v=BAuKE83cjns
Обзор Life is Strange 2 - The Awesome Adventures of Captain Spirit,http://www.youtube.com/watch?v=0X3fgpKUl60
Сюжет Kingdom Hearts за 5 минут,http://www.youtube.com/watch?v=pr2gmBnZEIE
"Русские BIG BOX издания ПК 90х ""Детство буржуя"" Special",http://www.youtube.com/watch?v=azDuB729Qm8
Консоли лучше ПК инфа 100%,http://www.youtube.com/watch?v=uVCR_jPCr5g
Привет 90-е! Playstation на ПК,http://www.youtube.com/watch?v=tVu0-44qy-c
Картон за 5 косарей Nintendo Labo,http://www.youtube.com/watch?v=ZlMNDdZ24hk
СНОВА КУЧА БАРАХЛА! / Посылки от подписчиков и покупки в США,http://www.youtube.com/watch?v=Z7md_tVkD18
Китайские мультики про девочек волшебниц / Little Witch Academia PS4 обзор,http://www.youtube.com/watch?v=M1EraPJm12A
"Опять говно? Detroit ""Стать Человеком"" / обзор без спойлеров",http://www.youtube.com/watch?v=MNSzpE-_m9s
"The Sims ПК 90х ""Детство буржуя"" 5я серия",http://www.youtube.com/watch?v=w9J1165P73A
Новосибирск / PopCorn 2018,http://www.youtube.com/watch?v=gAUfV7Db39Y
Халявные игры для Playstation 4 без взлома!,http://www.youtube.com/watch?v=fRrXfmjOc1k
God of War 2018 БЕЗ СПОЙЛЕРОВ! / Обзор,http://www.youtube.com/watch?v=zLf3-dJtBAw
"Золотой софт ПК 90х ""Детство буржуя"" 4я серия",http://www.youtube.com/watch?v=lyFtu7IjyJk
Почем детство с AliExpress?,http://www.youtube.com/watch?v=OtdpYnenXn8
"Как Марио, но розовый / Kirby Star Allies обзор",http://www.youtube.com/watch?v=R-SgU9viPVk
"Боссы, рвущие *опу #СложныеУблюдки",http://www.youtube.com/watch?v=aITjaoFPh2o
Steam для богатых / Дно Nintendo eshop,http://www.youtube.com/watch?v=6tEW3EfrE_o
Дюк Нюкем 2018-го / Duke Nukem 2018,http://www.youtube.com/watch?v=vDJ7k87_uAU
"Большая распаковка! / Play-Asia, Amazon, Ebay, GearZ, посылки от подписчиков",http://www.youtube.com/watch?v=xcV5okhKml0
Нью-Йорк - город контрастов / В погоне за играми США,http://www.youtube.com/watch?v=x5z5oQse3po
Классика с Super Nintendo / Secret of Mana 2018 обзор,http://www.youtube.com/watch?v=8NTtWvI49Xg
Новые игры сливают бесплатно! / Срочно в номер,http://www.youtube.com/watch?v=-Nmxxq16B6g
Dragon Ball FighterZ обзор / Юра знает,http://www.youtube.com/watch?v=njO8oDANtes
Новые трансформеры! / Transformers Studio Series Collection,http://www.youtube.com/watch?v=Xnofrs9YRuQ
"3DFX ПК 90х ""Детство буржуя"" 3я серия",http://www.youtube.com/watch?v=mUwPAqiSDk0
Японский Overwatch? / Final Fantasy Dissidia NT обзор,http://www.youtube.com/watch?v=3kSjm7SH9bc
Первые настоящие гонки для Nintendo Switch / Gear Club Unlimited,http://www.youtube.com/watch?v=EcLIMN5JPkE
Потерянный квест из детства - Thimbleweed Park,http://www.youtube.com/watch?v=nrSut9LxJjc
Самая легкая и быстрая платина на Playstation,http://www.youtube.com/watch?v=qFr_DlIsTG8
Опять старье?! / Shadow of the Colossus PS4 2018,http://www.youtube.com/watch?v=H1HYxlJz4zk
Больше никаких огромных посылок из США!,http://www.youtube.com/watch?v=ki3bGu5Wp2s
Лучшая JRPG для Nintendo 3DS / Beyond the Labyrinth,http://www.youtube.com/watch?v=m9dh_ktPRt0
VERSUS: Денди против MS-DOS и Commodore Amiga,http://www.youtube.com/watch?v=u810I6U1jUU
Nintendo Switch. Новинки 2018,http://www.youtube.com/watch?v=xK2c4KYn9pg
"Word 97 ПК 90х ""Детство буржуя"" Новогодняя серия",http://www.youtube.com/watch?v=ntxmtJnayNc
Герои Marvel 3d. Официальная коллекция.,http://www.youtube.com/watch?v=5Y-80nXm4dQ
"Windows 98 ПК 90х ""Детство буржуя"" 2я серия",http://www.youtube.com/watch?v=6HQ8egjDEio
Final Fantasy Dissidia NT - Презентация и первый взгляд на игру,http://www.youtube.com/watch?v=HKmLD4lazok
"MS DOS ПК 90х ""Детство буржуя"" 1я серия",http://www.youtube.com/watch?v=f8yiUkzg86Y
"Вещи, разрушившие игровую индустрию - ""Любопытный факт""",http://www.youtube.com/watch?v=NSIqL-y6DJE
Клавиатура и мышь на Playstation 4 / Обзор Hori TAC 4,http://www.youtube.com/watch?v=zvY-KzimYKg
The Frozen Wilds - Обзор DLC к Horizon Zero Dawn,http://www.youtube.com/watch?v=wSLvlrBYY2U
"Мошенники и доверие на Amazon - ""Любопытный факт""",http://www.youtube.com/watch?v=-9YstsXp958
SNES mini - плохой эмулятор?,http://www.youtube.com/watch?v=eKeU1nCmKQ4
"Сколько зарабатывают разработчики игр? - ""Любопытный факт""",http://www.youtube.com/watch?v=GWd5tAjLXYU
Как правильно смотреть Stranger Things 2,http://www.youtube.com/watch?v=f3n6GH3aXnM
Возвращение Resident Evil? / Обзор Evil Within 2,http://www.youtube.com/watch?v=lNrLfv9LGF0
Записки барахольщика - Финляндия,http://www.youtube.com/watch?v=0Q9ho8W-s_g
Gran Turismo Sport - Презентация и первый взгляд.,http://www.youtube.com/watch?v=drqYLvQT3qo
"ШОК! 18+ Пинбол из Windows XP был всего лишь демкой! - ""Любопытный факт""",http://www.youtube.com/watch?v=4HnBEi5IkTM
"Ebay, Amazon, Discogs - бери, пока дают!",http://www.youtube.com/watch?v=yENo7sssvBw
Cuphead - сложная игра?,http://www.youtube.com/watch?v=KjD97-lNDzE
"Тайна секретных меню в играх - ""Любопытный факт""",http://www.youtube.com/watch?v=M38TMdZwNsk
Игромир и Comic Con Russia 2017,http://www.youtube.com/watch?v=05ZTZh7tQPk
Обзор SNES classic mini и китайский цирк на Ebay,http://www.youtube.com/watch?v=vJ8N9-cEDno
Веселая ферма моего детства 90х,http://www.youtube.com/watch?v=K-pXDbjOn_s
Русские в США - Гик автопробег / В погоне за играми,http://www.youtube.com/watch?v=l3wmN6_Lqfo
Как изнасиловать синего ежа по версии дилетанта / Sonic Mania,http://www.youtube.com/watch?v=yUrTq9F6Xbs
Клон Zelda на Nintendo. Это вообще законно?! (feat Jjar),http://www.youtube.com/watch?v=rl-TFROdud4
Uncharted: Утраченное наследие / The Lost Legacy - Обзор,http://www.youtube.com/watch?v=gd6RFU3FsWU
Самая сложная игра на Денди - Mega Man Legacy Collection 1 & 2,http://www.youtube.com/watch?v=YgpqWMU9c7c
Утиные Истории 2017 - Шедевр?,http://www.youtube.com/watch?v=5bbBjTOkOIo
New Nintendo 2DSXL - Честный обзор,http://www.youtube.com/watch?v=BQJLijDjRgw
